site_id,ts,GHI,DNI,cloud,temp
0,2006-01-01 00:00:00,0,0,1,8.6
0,2006-01-01 01:00:00,0,0,7,8.700000000000001
0,2006-01-01 02:00:00,0,0,7,8.8
0,2006-01-01 03:00:00,0,0,7,8.8
0,2006-01-01 04:00:00,0,0,7,8.8
0,2006-01-01 05:00:00,0,0,7,8.700000000000001
0,2006-01-01 06:00:00,0,0,7,8.700000000000001
0,2006-01-01 07:00:00,0,0,7,9.0
0,2006-01-01 08:00:00,6,0,7,9.4
0,2006-01-01 09:00:00,77,4,7,9.5
0,2006-01-01 10:00:00,6,0,8,9.4
0,2006-01-01 11:00:00,46,0,7,9.3
0,2006-01-01 12:00:00,136,10,7,9.0
0,2006-01-01 13:00:00,19,0,7,8.5
0,2006-01-01 14:00:00,52,0,7,8.1
0,2006-01-01 15:00:00,18,0,6,7.6
0,2006-01-01 16:00:00,12,0,6,7.0
0,2006-01-01 17:00:00,0,0,7,7.0
0,2006-01-01 18:00:00,0,0,7,7.2
0,2006-01-01 19:00:00,0,0,6,7.5
0,2006-01-01 20:00:00,0,0,6,7.6
0,2006-01-01 21:00:00,0,0,7,7.5
0,2006-01-01 22:00:00,0,0,7,7.5
0,2006-01-01 23:00:00,0,0,7,7.4
0,2006-01-02 00:00:00,0,0,7,7.300000000000001
0,2006-01-02 01:00:00,0,0,6,7.4
0,2006-01-02 02:00:00,0,0,6,7.5
0,2006-01-02 03:00:00,0,0,6,7.6
0,2006-01-02 04:00:00,0,0,6,7.6
0,2006-01-02 05:00:00,0,0,7,7.7
0,2006-01-02 06:00:00,0,0,6,7.9
0,2006-01-02 07:00:00,0,0,7,8.3
0,2006-01-02 08:00:00,10,0,6,8.9
0,2006-01-02 09:00:00,51,1,6,9.4
0,2006-01-02 10:00:00,30,0,7,9.6
0,2006-01-02 11:00:00,202,32,7,9.7
0,2006-01-02 12:00:00,49,0,6,10.0
0,2006-01-02 13:00:00,66,0,6,10.1
0,2006-01-02 14:00:00,130,13,7,10.0
0,2006-01-02 15:00:00,102,25,8,9.4
0,2006-01-02 16:00:00,22,1,7,8.700000000000001
0,2006-01-02 17:00:00,0,0,7,8.3
0,2006-01-02 18:00:00,0,0,7,8.200000000000001
0,2006-01-02 19:00:00,0,0,0,8.0
0,2006-01-02 20:00:00,0,0,0,7.4
0,2006-01-02 21:00:00,0,0,0,6.2
0,2006-01-02 22:00:00,0,0,0,5.6000000000000005
0,2006-01-02 23:00:00,0,0,0,5.9
0,2006-01-03 00:00:00,0,0,7,6.4
0,2006-01-03 01:00:00,0,0,1,6.7
0,2006-01-03 02:00:00,0,0,4,6.800000000000001
0,2006-01-03 03:00:00,0,0,8,7.0
0,2006-01-03 04:00:00,0,0,7,7.0
0,2006-01-03 05:00:00,0,0,7,7.1000000000000005
0,2006-01-03 06:00:00,0,0,6,7.2
0,2006-01-03 07:00:00,0,0,7,7.300000000000001
0,2006-01-03 08:00:00,22,0,6,7.7
0,2006-01-03 09:00:00,27,0,6,8.200000000000001
0,2006-01-03 10:00:00,100,3,7,8.9
0,2006-01-03 11:00:00,49,0,6,9.4
0,2006-01-03 12:00:00,35,0,6,9.6
0,2006-01-03 13:00:00,9,0,7,9.6
0,2006-01-03 14:00:00,51,0,6,9.3
0,2006-01-03 15:00:00,26,0,6,9.1
0,2006-01-03 16:00:00,13,0,6,8.8
0,2006-01-03 17:00:00,0,0,7,8.700000000000001
0,2006-01-03 18:00:00,0,0,7,8.5
0,2006-01-03 19:00:00,0,0,8,8.4
0,2006-01-03 20:00:00,0,0,8,8.4
0,2006-01-03 21:00:00,0,0,8,8.3
0,2006-01-03 22:00:00,0,0,7,8.4
0,2006-01-03 23:00:00,0,0,7,8.5
0,2006-01-04 00:00:00,0,0,7,8.8
0,2006-01-04 01:00:00,0,0,7,9.1
0,2006-01-04 02:00:00,0,0,1,9.4
0,2006-01-04 03:00:00,0,0,0,9.5
0,2006-01-04 04:00:00,0,0,8,9.6
0,2006-01-04 05:00:00,0,0,1,9.7
0,2006-01-04 06:00:00,0,0,4,9.8
0,2006-01-04 07:00:00,0,0,6,10.1
0,2006-01-04 08:00:00,40,1,6,11.2
0,2006-01-04 09:00:00,231,428,7,12.7
0,2006-01-04 10:00:00,271,130,2,14.1
0,2006-01-04 11:00:00,334,296,8,15.1
0,2006-01-04 12:00:00,456,835,0,15.8
0,2006-01-04 13:00:00,412,815,0,16.0
0,2006-01-04 14:00:00,318,761,0,15.6
0,2006-01-04 15:00:00,184,636,0,14.1
0,2006-01-04 16:00:00,42,318,0,12.0
0,2006-01-04 17:00:00,0,0,0,10.7
0,2006-01-04 18:00:00,0,0,0,10.0
0,2006-01-04 19:00:00,0,0,0,9.6
0,2006-01-04 20:00:00,0,0,7,9.3
0,2006-01-04 21:00:00,0,0,7,8.9
0,2006-01-04 22:00:00,0,0,7,8.700000000000001
0,2006-01-04 23:00:00,0,0,1,8.5
0,2006-01-05 00:00:00,0,0,0,8.3
0,2006-01-05 01:00:00,0,0,0,8.200000000000001
0,2006-01-05 02:00:00,0,0,3,8.1
0,2006-01-05 03:00:00,0,0,1,8.200000000000001
0,2006-01-05 04:00:00,0,0,7,8.200000000000001
0,2006-01-05 05:00:00,0,0,4,8.3
0,2006-01-05 06:00:00,0,0,4,8.4
0,2006-01-05 07:00:00,0,0,7,9.4
0,2006-01-05 08:00:00,82,25,7,11.5
0,2006-01-05 09:00:00,185,133,7,13.6
0,2006-01-05 10:00:00,299,359,8,15.3
0,2006-01-05 11:00:00,352,238,3,16.3
0,2006-01-05 12:00:00,473,865,1,16.900000000000002
0,2006-01-05 13:00:00,426,836,1,17.0
0,2006-01-05 14:00:00,261,328,8,16.400000000000002
0,2006-01-05 15:00:00,142,116,8,14.7
0,2006-01-05 16:00:00,29,3,7,13.0
0,2006-01-05 17:00:00,0,0,8,12.1
0,2006-01-05 18:00:00,0,0,7,11.8
0,2006-01-05 19:00:00,0,0,7,11.5
0,2006-01-05 20:00:00,0,0,7,11.3
0,2006-01-05 21:00:00,0,0,7,11.0
0,2006-01-05 22:00:00,0,0,8,10.9
0,2006-01-05 23:00:00,0,0,7,10.9
0,2006-01-06 00:00:00,0,0,7,10.9
0,2006-01-06 01:00:00,0,0,7,10.9
0,2006-01-06 02:00:00,0,0,7,10.9
0,2006-01-06 03:00:00,0,0,7,10.8
0,2006-01-06 04:00:00,0,0,7,10.7
0,2006-01-06 05:00:00,0,0,7,10.7
0,2006-01-06 06:00:00,0,0,7,10.8
0,2006-01-06 07:00:00,0,0,7,11.3
0,2006-01-06 08:00:00,69,11,7,12.7
0,2006-01-06 09:00:00,117,17,7,14.6
