Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,145533,-,-,-,39.77,-121.86,-8,65,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,Cloud Type,Temperature
2006,1,1,0,30,0,0,1,8.6
2006,1,1,1,30,0,0,7,8.700000000000001
2006,1,1,2,30,0,0,7,8.8
2006,1,1,3,30,0,0,7,8.8
2006,1,1,4,30,0,0,7,8.8
2006,1,1,5,30,0,0,7,8.700000000000001
2006,1,1,6,30,0,0,7,8.700000000000001
2006,1,1,7,30,0,0,7,9
2006,1,1,8,30,6,0,7,9.4
2006,1,1,9,30,77,4,7,9.5
2006,1,1,10,30,6,0,8,9.4
2006,1,1,11,30,46,0,7,9.3
2006,1,1,12,30,136,10,7,9
2006,1,1,13,30,19,0,7,8.5
2006,1,1,14,30,52,0,7,8.1
2006,1,1,15,30,18,0,6,7.6000000000000005
2006,1,1,16,30,12,0,6,7
2006,1,1,17,30,0,0,7,7
2006,1,1,18,30,0,0,7,7.2
2006,1,1,19,30,0,0,6,7.5
2006,1,1,20,30,0,0,6,7.6000000000000005
2006,1,1,21,30,0,0,7,7.5
2006,1,1,22,30,0,0,7,7.5
2006,1,1,23,30,0,0,7,7.4
2006,1,2,0,30,0,0,7,7.300000000000001
2006,1,2,1,30,0,0,6,7.4
2006,1,2,2,30,0,0,6,7.5
2006,1,2,3,30,0,0,6,7.6000000000000005
2006,1,2,4,30,0,0,6,7.6000000000000005
2006,1,2,5,30,0,0,7,7.7
2006,1,2,6,30,0,0,6,7.9
2006,1,2,7,30,0,0,7,8.3
2006,1,2,8,30,10,0,6,8.9
2006,1,2,9,30,51,1,6,9.4
2006,1,2,10,30,30,0,7,9.600000000000001
2006,1,2,11,30,202,32,7,9.700000000000001
2006,1,2,12,30,49,0,6,10
2006,1,2,13,30,66,0,6,10.100000000000001
2006,1,2,14,30,130,13,7,10
2006,1,2,15,30,102,25,8,9.4
2006,1,2,16,30,22,1,7,8.700000000000001
2006,1,2,17,30,0,0,7,8.3
2006,1,2,18,30,0,0,7,8.200000000000001
2006,1,2,19,30,0,0,0,8
2006,1,2,20,30,0,0,0,7.4
2006,1,2,21,30,0,0,0,6.2
2006,1,2,22,30,0,0,0,5.6000000000000005
2006,1,2,23,30,0,0,0,5.9
2006,1,3,0,30,0,0,7,6.4
2006,1,3,1,30,0,0,1,6.7
2006,1,3,2,30,0,0,4,6.800000000000001
2006,1,3,3,30,0,0,8,7
2006,1,3,4,30,0,0,7,7
2006,1,3,5,30,0,0,7,7.1000000000000005
2006,1,3,6,30,0,0,6,7.2
2006,1,3,7,30,0,0,7,7.300000000000001
2006,1,3,8,30,22,0,6,7.7
2006,1,3,9,30,27,0,6,8.200000000000001
2006,1,3,10,30,100,3,7,8.9
2006,1,3,11,30,49,0,6,9.4
2006,1,3,12,30,35,0,6,9.600000000000001
2006,1,3,13,30,9,0,7,9.600000000000001
2006,1,3,14,30,51,0,6,9.3
2006,1,3,15,30,26,0,6,9.1
2006,1,3,16,30,13,0,6,8.8
2006,1,3,17,30,0,0,7,8.700000000000001
2006,1,3,18,30,0,0,7,8.5
2006,1,3,19,30,0,0,8,8.4
2006,1,3,20,30,0,0,8,8.4
2006,1,3,21,30,0,0,8,8.3
2006,1,3,22,30,0,0,7,8.4
2006,1,3,23,30,0,0,7,8.5
2006,1,4,0,30,0,0,7,8.8
2006,1,4,1,30,0,0,7,9.1
2006,1,4,2,30,0,0,1,9.4
2006,1,4,3,30,0,0,0,9.5
2006,1,4,4,30,0,0,8,9.600000000000001
2006,1,4,5,30,0,0,1,9.700000000000001
2006,1,4,6,30,0,0,4,9.8
2006,1,4,7,30,0,0,6,10.100000000000001
2006,1,4,8,30,40,1,6,11.200000000000001
2006,1,4,9,30,231,428,7,12.700000000000001
2006,1,4,10,30,271,130,2,14.100000000000001
2006,1,4,11,30,334,296,8,15.100000000000001
2006,1,4,12,30,456,835,0,15.8
2006,1,4,13,30,412,815,0,16
2006,1,4,14,30,318,761,0,15.600000000000001
2006,1,4,15,30,184,636,0,14.100000000000001
2006,1,4,16,30,42,318,0,12
2006,1,4,17,30,0,0,0,10.700000000000001
2006,1,4,18,30,0,0,0,10
2006,1,4,19,30,0,0,0,9.600000000000001
2006,1,4,20,30,0,0,7,9.3
2006,1,4,21,30,0,0,7,8.9
2006,1,4,22,30,0,0,7,8.700000000000001
2006,1,4,23,30,0,0,1,8.5
2006,1,5,0,30,0,0,0,8.3
2006,1,5,1,30,0,0,0,8.200000000000001
2006,1,5,2,30,0,0,3,8.1
2006,1,5,3,30,0,0,1,8.200000000000001
2006,1,5,4,30,0,0,7,8.200000000000001
2006,1,5,5,30,0,0,4,8.3
2006,1,5,6,30,0,0,4,8.4
2006,1,5,7,30,0,0,7,9.4
2006,1,5,8,30,82,25,7,11.5
2006,1,5,9,30,185,133,7,13.600000000000001
2006,1,5,10,30,299,359,8,15.3
2006,1,5,11,30,352,238,3,16.3
2006,1,5,12,30,473,865,1,16.900000000000002
2006,1,5,13,30,426,836,1,17
2006,1,5,14,30,261,328,8,16.400000000000002
2006,1,5,15,30,142,116,8,14.700000000000001
2006,1,5,16,30,29,3,7,13
2006,1,5,17,30,0,0,8,12.100000000000001
2006,1,5,18,30,0,0,7,11.8
2006,1,5,19,30,0,0,7,11.5
2006,1,5,20,30,0,0,7,11.3
2006,1,5,21,30,0,0,7,11
2006,1,5,22,30,0,0,8,10.9
2006,1,5,23,30,0,0,7,10.9
2006,1,6,0,30,0,0,7,10.9
2006,1,6,1,30,0,0,7,10.9
2006,1,6,2,30,0,0,7,10.9
2006,1,6,3,30,0,0,7,10.8
2006,1,6,4,30,0,0,7,10.700000000000001
2006,1,6,5,30,0,0,7,10.700000000000001
2006,1,6,6,30,0,0,7,10.8
2006,1,6,7,30,0,0,7,11.3
2006,1,6,8,30,69,11,7,12.700000000000001
2006,1,6,9,30,117,17,7,14.600000000000001
2006,1,6,10,30,168,20,7,16
2006,1,6,11,30,289,132,7,16.5
2006,1,6,12,30,378,430,8,16.7
2006,1,6,13,30,272,61,4,16.900000000000002
2006,1,6,14,30,186,20,4,16.400000000000002
2006,1,6,15,30,180,401,7,14.5
2006,1,6,16,30,31,5,7,12.4
2006,1,6,17,30,0,0,7,11.200000000000001
2006,1,6,18,30,0,0,7,10.5
2006,1,6,19,30,0,0,7,9.8
2006,1,6,20,30,0,0,7,9.600000000000001
2006,1,6,21,30,0,0,7,9.700000000000001
2006,1,6,22,30,0,0,7,10
2006,1,6,23,30,0,0,6,10.3
2006,1,7,0,30,0,0,7,10.600000000000001
2006,1,7,1,30,0,0,6,10.4
2006,1,7,2,30,0,0,8,9.9
2006,1,7,3,30,0,0,4,9.3
2006,1,7,4,30,0,0,0,8.6
2006,1,7,5,30,0,0,3,8.1
2006,1,7,6,30,0,0,1,7.9
2006,1,7,7,30,0,0,3,8.8
2006,1,7,8,30,35,0,3,10.200000000000001
