Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,206280,-,-,-,34.65,-118.14,-8,747,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DNI,GHI,Cloud Type
2006,1,1,0,30,6.4,0,0,0
2006,1,1,1,30,6.300000000000001,0,0,7
2006,1,1,2,30,6.4,0,0,7
2006,1,1,3,30,6.6000000000000005,0,0,7
2006,1,1,4,30,6.7,0,0,7
2006,1,1,5,30,6.7,0,0,7
2006,1,1,6,30,6.7,0,0,7
2006,1,1,7,30,7.300000000000001,0,19,7
2006,1,1,8,30,8.200000000000001,46,141,7
2006,1,1,9,30,9.3,1,78,7
2006,1,1,10,30,10.100000000000001,5,149,7
2006,1,1,11,30,10.9,4,153,6
2006,1,1,12,30,11.5,1,94,7
2006,1,1,13,30,11.5,0,33,6
2006,1,1,14,30,10.8,0,6,7
2006,1,1,15,30,9.9,0,4,7
2006,1,1,16,30,9.1,0,9,6
2006,1,1,17,30,8.700000000000001,0,0,7
2006,1,1,18,30,8.8,0,0,8
2006,1,1,19,30,9.3,0,0,7
2006,1,1,20,30,10.100000000000001,0,0,7
2006,1,1,21,30,11,0,0,7
2006,1,1,22,30,11.600000000000001,0,0,7
2006,1,1,23,30,11.9,0,0,7
2006,1,2,0,30,12.100000000000001,0,0,1
2006,1,2,1,30,12.200000000000001,0,0,0
2006,1,2,2,30,12.4,0,0,7
2006,1,2,3,30,12.3,0,0,1
2006,1,2,4,30,12.100000000000001,0,0,7
2006,1,2,5,30,12,0,0,7
2006,1,2,6,30,11.8,0,0,7
2006,1,2,7,30,11.8,5,35,7
2006,1,2,8,30,12.100000000000001,0,36,7
2006,1,2,9,30,12.600000000000001,0,19,6
2006,1,2,10,30,12.8,1,92,6
2006,1,2,11,30,12.3,0,16,7
2006,1,2,12,30,11.8,41,310,4
2006,1,2,13,30,11.600000000000001,432,408,7
2006,1,2,14,30,11,239,288,7
2006,1,2,15,30,9.8,106,158,7
2006,1,2,16,30,8.9,184,39,0
2006,1,2,17,30,8.5,0,0,0
2006,1,2,18,30,8.4,0,0,0
2006,1,2,19,30,8.3,0,0,0
2006,1,2,20,30,8,0,0,0
2006,1,2,21,30,7.4,0,0,0
2006,1,2,22,30,7,0,0,0
2006,1,2,23,30,6.6000000000000005,0,0,0
2006,1,3,0,30,6,0,0,0
2006,1,3,1,30,5.2,0,0,0
2006,1,3,2,30,4.7,0,0,0
2006,1,3,3,30,4.4,0,0,0
2006,1,3,4,30,4.3,0,0,0
2006,1,3,5,30,4.1000000000000005,0,0,0
2006,1,3,6,30,4.2,0,0,4
2006,1,3,7,30,5.4,3,35,7
2006,1,3,8,30,7.4,712,234,0
2006,1,3,9,30,9.3,846,397,0
2006,1,3,10,30,11.3,914,517,0
2006,1,3,11,30,12.9,521,486,7
2006,1,3,12,30,13.9,936,573,0
2006,1,3,13,30,14.100000000000001,898,503,0
2006,1,3,14,30,13.3,824,378,1
2006,1,3,15,30,11.5,697,215,0
2006,1,3,16,30,9,0,26,4
2006,1,3,17,30,7,0,0,0
2006,1,3,18,30,6,0,0,0
2006,1,3,19,30,5.2,0,0,0
2006,1,3,20,30,4.6000000000000005,0,0,0
2006,1,3,21,30,4.2,0,0,7
2006,1,3,22,30,4,0,0,0
2006,1,3,23,30,4,0,0,4
2006,1,4,0,30,4.800000000000001,0,0,0
2006,1,4,1,30,6,0,0,1
2006,1,4,2,30,6.7,0,0,7
2006,1,4,3,30,6.800000000000001,0,0,7
2006,1,4,4,30,6.5,0,0,7
2006,1,4,5,30,6.2,0,0,8
2006,1,4,6,30,6.800000000000001,0,0,0
2006,1,4,7,30,8.6,408,58,0
2006,1,4,8,30,11.3,721,228,0
2006,1,4,9,30,14,843,388,1
2006,1,4,10,30,16.3,274,362,7
2006,1,4,11,30,17.900000000000002,375,432,8
2006,1,4,12,30,18.5,351,425,7
2006,1,4,13,30,18.400000000000002,501,414,8
2006,1,4,14,30,17.400000000000002,419,307,8
2006,1,4,15,30,15.200000000000001,155,168,4
2006,1,4,16,30,12.8,4,31,7
2006,1,4,17,30,11.600000000000001,0,0,7
2006,1,4,18,30,11.100000000000001,0,0,7
2006,1,4,19,30,10.8,0,0,7
2006,1,4,20,30,10.600000000000001,0,0,7
2006,1,4,21,30,10.4,0,0,4
2006,1,4,22,30,10.200000000000001,0,0,4
2006,1,4,23,30,10.100000000000001,0,0,4
2006,1,5,0,30,10,0,0,4
2006,1,5,1,30,10,0,0,0
2006,1,5,2,30,10.100000000000001,0,0,1
2006,1,5,3,30,10.100000000000001,0,0,0
2006,1,5,4,30,10,0,0,0
2006,1,5,5,30,9.9,0,0,0
2006,1,5,6,30,10.3,0,0,0
2006,1,5,7,30,11.8,445,60,0
2006,1,5,8,30,14.5,25,145,4
2006,1,5,9,30,17.400000000000002,98,271,4
2006,1,5,10,30,19.5,912,514,0
2006,1,5,11,30,20.700000000000003,931,574,0
2006,1,5,12,30,21,928,573,0
2006,1,5,13,30,20.6,903,508,0
2006,1,5,14,30,19.200000000000003,837,385,0
2006,1,5,15,30,17.1,692,219,0
2006,1,5,16,30,15.200000000000001,365,50,1
2006,1,5,17,30,14.100000000000001,0,0,3
2006,1,5,18,30,13.600000000000001,0,0,4
2006,1,5,19,30,13.3,0,0,7
2006,1,5,20,30,12.9,0,0,7
2006,1,5,21,30,12.4,0,0,7
2006,1,5,22,30,11.9,0,0,0
2006,1,5,23,30,11.600000000000001,0,0,4
2006,1,6,0,30,11.200000000000001,0,0,4
2006,1,6,1,30,10.9,0,0,4
2006,1,6,2,30,10.3,0,0,4
2006,1,6,3,30,9.9,0,0,1
2006,1,6,4,30,9.600000000000001,0,0,0
2006,1,6,5,30,9.200000000000001,0,0,4
2006,1,6,6,30,9.600000000000001,0,0,1
2006,1,6,7,30,11.700000000000001,1,34,4
2006,1,6,8,30,14.3,777,243,0
2006,1,6,9,30,16.900000000000002,895,410,0
2006,1,6,10,30,19.3,952,532,0
2006,1,6,11,30,21.1,977,595,0
2006,1,6,12,30,22.400000000000002,977,594,0
2006,1,6,13,30,23,957,528,0
2006,1,6,14,30,22,900,404,0
2006,1,6,15,30,18.7,773,235,0
2006,1,6,16,30,15.3,450,56,0
2006,1,6,17,30,13.5,0,0,0
2006,1,6,18,30,12.4,0,0,7
2006,1,6,19,30,11.8,0,0,8
2006,1,6,20,30,11.8,0,0,3
2006,1,6,21,30,11.9,0,0,1
2006,1,6,22,30,11.9,0,0,7
2006,1,6,23,30,11.600000000000001,0,0,7
2006,1,7,0,30,11,0,0,1
2006,1,7,1,30,10.4,0,0,7
2006,1,7,2,30,9.200000000000001,0,0,7
2006,1,7,3,30,7.800000000000001,0,0,1
2006,1,7,4,30,7.1000000000000005,0,0,1
2006,1,7,5,30,6.6000000000000005,0,0,1
2006,1,7,6,30,6.9,0,0,0
2006,1,7,7,30,8.9,332,55,1
2006,1,7,8,30,11.700000000000001,676,230,0
2006,1,7,9,30,14.100000000000001,833,398,0
2006,1,7,10,30,16.400000000000002,908,522,0
2006,1,7,11,30,17.6,943,587,0
2006,1,7,12,30,17.900000000000002,940,584,0
2006,1,7,13,30,17.400000000000002,910,518,0
2006,1,7,14,30,16.3,849,395,0
2006,1,7,15,30,13.700000000000001,719,229,0
2006,1,7,16,30,10.5,402,55,0
2006,1,7,17,30,8.8,0,0,0
2006,1,7,18,30,8.4,0,0,0
2006,1,7,19,30,8.4,0,0,0
2006,1,7,20,30,8.200000000000001,0,0,0
2006,1,7,21,30,7.9,0,0,0
2006,1,7,22,30,7.5,0,0,0
2006,1,7,23,30,6.7,0,0,0
2006,1,8,0,30,5.9,0,0,0
2006,1,8,1,30,5.4,0,0,0
2006,1,8,2,30,5.1000000000000005,0,0,0
2006,1,8,3,30,4.800000000000001,0,0,0
2006,1,8,4,30,4.5,0,0,0
2006,1,8,5,30,4.4,0,0,0
2006,1,8,6,30,4.800000000000001,0,0,0
2006,1,8,7,30,6.4,358,58,0
2006,1,8,8,30,9.4,696,234,0
2006,1,8,9,30,12.8,834,401,0
2006,1,8,10,30,15.600000000000001,893,523,0
2006,1,8,11,30,17.6,924,585,0
2006,1,8,12,30,19,929,586,0
2006,1,8,13,30,19.400000000000002,883,515,0
2006,1,8,14,30,18.5,818,392,0
2006,1,8,15,30,15.200000000000001,679,227,0
2006,1,8,16,30,11.4,323,52,0
2006,1,8,17,30,9.700000000000001,0,0,0
2006,1,8,18,30,9,0,0,0
2006,1,8,19,30,8.4,0,0,0
2006,1,8,20,30,8,0,0,0
2006,1,8,21,30,7.7,0,0,0
2006,1,8,22,30,7.7,0,0,0
2006,1,8,23,30,7.800000000000001,0,0,0
2006,1,9,0,30,7.800000000000001,0,0,0
2006,1,9,1,30,7.6000000000000005,0,0,0
2006,1,9,2,30,7.300000000000001,0,0,1
2006,1,9,3,30,7,0,0,0
2006,1,9,4,30,6.6000000000000005,0,0,1
2006,1,9,5,30,6.300000000000001,0,0,1
2006,1,9,6,30,6.5,0,0,1
2006,1,9,7,30,8.200000000000001,369,57,1
2006,1,9,8,30,11,705,233,0
2006,1,9,9,30,13.700000000000001,839,399,0
2006,1,9,10,30,15.600000000000001,887,518,0
2006,1,9,11,30,16.8,916,583,0
2006,1,9,12,30,17.400000000000002,916,583,0
2006,1,9,13,30,17.3,906,522,0
2006,1,9,14,30,16.5,843,399,0
