Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,221233,-,-,-,32.77,-117.26,-8,1,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,DNI,GHI
2006,1,1,0,30,14.8,1,0,0
2006,1,1,1,30,14.8,1,0,0
2006,1,1,2,30,14.8,7,0,0
2006,1,1,3,30,14.700000000000001,0,0,0
2006,1,1,4,30,14.700000000000001,4,0,0
2006,1,1,5,30,14.5,8,0,0
2006,1,1,6,30,14.3,7,0,0
2006,1,1,7,30,14.600000000000001,1,407,78
2006,1,1,8,30,15.3,7,456,230
2006,1,1,9,30,15.9,7,389,320
2006,1,1,10,30,16.6,7,141,312
2006,1,1,11,30,17.3,7,69,284
2006,1,1,12,30,18,4,0,130
2006,1,1,13,30,18.2,7,98,287
2006,1,1,14,30,17.7,8,426,302
2006,1,1,15,30,16.7,8,0,38
2006,1,1,16,30,15.700000000000001,4,0,12
2006,1,1,17,30,15.200000000000001,4,0,0
2006,1,1,18,30,15.200000000000001,4,0,0
2006,1,1,19,30,15.200000000000001,3,0,0
2006,1,1,20,30,15.3,3,0,0
2006,1,1,21,30,15.5,3,0,0
2006,1,1,22,30,15.600000000000001,3,0,0
2006,1,1,23,30,15.700000000000001,4,0,0
2006,1,2,0,30,15.8,3,0,0
2006,1,2,1,30,15.9,3,0,0
2006,1,2,2,30,15.9,7,0,0
2006,1,2,3,30,15.9,8,0,0
2006,1,2,4,30,15.8,7,0,0
2006,1,2,5,30,15.600000000000001,4,0,0
2006,1,2,6,30,15.600000000000001,4,0,0
2006,1,2,7,30,15.8,7,2,33
2006,1,2,8,30,16.2,4,0,29
2006,1,2,9,30,16.5,3,17,192
2006,1,2,10,30,16.6,8,48,234
2006,1,2,11,30,16.5,7,5,157
2006,1,2,12,30,16.5,7,30,220
2006,1,2,13,30,16.5,4,0,119
2006,1,2,14,30,16.400000000000002,7,171,267
2006,1,2,15,30,15.9,8,4,65
2006,1,2,16,30,15.100000000000001,7,2,27
2006,1,2,17,30,14.5,7,0,0
2006,1,2,18,30,14,2,0,0
2006,1,2,19,30,13.8,2,0,0
2006,1,2,20,30,13.700000000000001,3,0,0
2006,1,2,21,30,13.700000000000001,2,0,0
2006,1,2,22,30,13.700000000000001,1,0,0
2006,1,2,23,30,13.600000000000001,1,0,0
2006,1,3,0,30,13.5,2,0,0
2006,1,3,1,30,13.3,2,0,0
2006,1,3,2,30,13.100000000000001,1,0,0
2006,1,3,3,30,12.9,1,0,0
2006,1,3,4,30,12.700000000000001,2,0,0
2006,1,3,5,30,12.600000000000001,2,0,0
2006,1,3,6,30,12.700000000000001,2,0,0
2006,1,3,7,30,13.3,2,4,53
2006,1,3,8,30,14,8,423,238
2006,1,3,9,30,14.8,7,433,360
2006,1,3,10,30,15.8,0,909,543
2006,1,3,11,30,16.7,0,939,602
2006,1,3,12,30,17.3,0,938,595
2006,1,3,13,30,17.3,0,904,522
2006,1,3,14,30,16.900000000000002,0,839,394
2006,1,3,15,30,15.8,0,703,224
2006,1,3,16,30,14.200000000000001,2,1,31
2006,1,3,17,30,13.3,1,0,0
2006,1,3,18,30,12.9,3,0,0
2006,1,3,19,30,12.700000000000001,0,0,0
2006,1,3,20,30,12.5,1,0,0
2006,1,3,21,30,12.4,1,0,0
2006,1,3,22,30,12.4,3,0,0
2006,1,3,23,30,12.4,1,0,0
2006,1,4,0,30,12.4,7,0,0
2006,1,4,1,30,12.4,3,0,0
2006,1,4,2,30,12.8,7,0,0
2006,1,4,3,30,13.200000000000001,7,0,0
2006,1,4,4,30,13.4,7,0,0
2006,1,4,5,30,13.5,7,0,0
2006,1,4,6,30,14.200000000000001,4,0,0
2006,1,4,7,30,16,1,464,80
2006,1,4,8,30,18.1,0,733,256
2006,1,4,9,30,19.8,0,845,416
2006,1,4,10,30,21.3,0,902,531
2006,1,4,11,30,22.200000000000003,1,925,590
2006,1,4,12,30,22.6,0,922,584
2006,1,4,13,30,22.700000000000003,0,893,514
2006,1,4,14,30,22.200000000000003,1,828,388
2006,1,4,15,30,20.8,1,689,222
2006,1,4,16,30,19.3,7,8,36
2006,1,4,17,30,18.6,7,0,0
2006,1,4,18,30,18.2,7,0,0
2006,1,4,19,30,17.8,3,0,0
2006,1,4,20,30,17.6,3,0,0
2006,1,4,21,30,17.400000000000002,3,0,0
2006,1,4,22,30,17.400000000000002,3,0,0
2006,1,4,23,30,17.400000000000002,7,0,0
2006,1,5,0,30,17.3,3,0,0
2006,1,5,1,30,17.2,3,0,0
2006,1,5,2,30,17.1,3,0,0
2006,1,5,3,30,17,3,0,0
2006,1,5,4,30,16.900000000000002,3,0,0
2006,1,5,5,30,16.900000000000002,1,0,0
2006,1,5,6,30,17.3,1,0,0
2006,1,5,7,30,18.7,1,510,84
2006,1,5,8,30,20.5,0,777,266
2006,1,5,9,30,22,0,885,430
2006,1,5,10,30,23.3,1,935,548
2006,1,5,11,30,24.1,1,954,607
2006,1,5,12,30,24.700000000000003,2,626,576
2006,1,5,13,30,24.8,3,323,420
2006,1,5,14,30,24.3,3,237,308
2006,1,5,15,30,22.6,3,167,177
2006,1,5,16,30,20.700000000000003,0,350,52
2006,1,5,17,30,19.6,0,0,0
2006,1,5,18,30,19,0,0,0
2006,1,5,19,30,18.5,0,0,0
2006,1,5,20,30,18.2,0,0,0
2006,1,5,21,30,17.900000000000002,1,0,0
2006,1,5,22,30,17.7,0,0,0
2006,1,5,23,30,17.5,1,0,0
2006,1,6,0,30,17.400000000000002,0,0,0
2006,1,6,1,30,17.2,0,0,0
2006,1,6,2,30,17,0,0,0
