plant,lat,lon
Actual_33.65_-117.25_2006_DPV_,33.65,-117.25
Actual_34.55_-118.55_2006_UPV_,34.55,-118.55
Actual_38.65_-121.05_2006_DPV_,38.65,-121.05
Actual_33.05_-116.85_2006_DPV_,33.05,-116.85
Actual_33.25_-114.85_2006_UPV_,33.25,-114.85
Actual_33.75_-116.15_2006_UPV_,33.75,-116.15
Actual_34.05_-117.15_2006_DPV_,34.05,-117.15
Actual_37.45_-121.95_2006_DPV_,37.45,-121.95
Actual_37.95_-121.65_2006_DPV_,37.95,-121.65
Actual_35.05_-118.15_2006_UPV_,35.05,-118.15
Actual_37.95_-121.75_2006_DPV_,37.95,-121.75
Actual_33.75_-116.25_2006_DPV_,33.75,-116.25
Actual_35.35_-117.85_2006_UPV_,35.35,-117.85
Actual_38.65_-121.25_2006_DPV_,38.65,-121.25
Actual_34.15_-117.25_2006_DPV_,34.15,-117.25
Actual_34.95_-118.25_2006_UPV_,34.95,-118.25
Actual_34.25_-117.65_2006_UPV_,34.25,-117.65
Actual_37.75_-122.05_2006_UPV_,37.75,-122.05
Actual_32.75_-115.45_2006_UPV_,32.75,-115.45
Actual_34.45_-114.65_2006_UPV_,34.45,-114.65
