plant,ts,GHI,DNI,cloud,temp
Actual_33.65_-117.25_2006_DPV_,2006-01-01 07:00:00,75,433,0,10.6
Actual_33.65_-117.25_2006_DPV_,2006-01-01 08:00:00,163,99,7,11.8
Actual_33.65_-117.25_2006_DPV_,2006-01-01 09:00:00,155,14,8,12.9
Actual_33.65_-117.25_2006_DPV_,2006-01-01 10:00:00,217,21,7,14.1
Actual_33.65_-117.25_2006_DPV_,2006-01-01 11:00:00,218,18,7,15.3
Actual_33.65_-117.25_2006_DPV_,2006-01-01 12:00:00,132,2,8,16.6
Actual_33.65_-117.25_2006_DPV_,2006-01-01 13:00:00,322,203,8,17.3
Actual_33.65_-117.25_2006_DPV_,2006-01-01 14:00:00,64,0,4,17.0
Actual_33.65_-117.25_2006_DPV_,2006-01-01 15:00:00,71,1,4,15.1
Actual_33.65_-117.25_2006_DPV_,2006-01-01 16:00:00,13,0,4,12.9
Actual_33.65_-117.25_2006_DPV_,2006-01-02 07:00:00,24,1,8,13.1
Actual_33.65_-117.25_2006_DPV_,2006-01-02 08:00:00,18,0,4,13.5
Actual_33.65_-117.25_2006_DPV_,2006-01-02 09:00:00,320,409,7,14.0
Actual_33.65_-117.25_2006_DPV_,2006-01-02 10:00:00,89,1,7,14.4
Actual_33.65_-117.25_2006_DPV_,2006-01-02 11:00:00,167,6,7,14.5
Actual_33.65_-117.25_2006_DPV_,2006-01-02 12:00:00,77,0,7,14.4
Actual_33.65_-117.25_2006_DPV_,2006-01-02 13:00:00,178,12,7,14.2
Actual_33.65_-117.25_2006_DPV_,2006-01-02 14:00:00,265,180,8,13.8
Actual_33.65_-117.25_2006_DPV_,2006-01-02 15:00:00,60,2,8,12.9
Actual_33.65_-117.25_2006_DPV_,2006-01-02 16:00:00,38,256,1,11.9
Actual_33.65_-117.25_2006_DPV_,2006-01-03 07:00:00,76,415,0,8.700000000000001
Actual_33.65_-117.25_2006_DPV_,2006-01-03 08:00:00,196,177,7,10.2
Actual_33.65_-117.25_2006_DPV_,2006-01-03 09:00:00,363,499,7,11.8
Actual_33.65_-117.25_2006_DPV_,2006-01-03 10:00:00,539,922,1,13.7
Actual_33.65_-117.25_2006_DPV_,2006-01-03 11:00:00,595,949,0,15.6
Actual_33.65_-117.25_2006_DPV_,2006-01-03 12:00:00,588,952,0,16.7
Actual_33.65_-117.25_2006_DPV_,2006-01-03 13:00:00,516,921,0,17.0
Actual_33.65_-117.25_2006_DPV_,2006-01-03 14:00:00,386,852,0,16.400000000000002
Actual_33.65_-117.25_2006_DPV_,2006-01-03 15:00:00,217,714,0,14.7
Actual_33.65_-117.25_2006_DPV_,2006-01-03 16:00:00,43,354,0,12.4
