,count,mean,min,25%,50%,75%,max,std,skew
LocalTime,87302,2006-06-30 17:47:38.243797376,2006-01-01 07:00:00,2006-04-10 16:15:00,2006-06-29 12:00:00,2006-09-19 09:00:00,2006-12-31 17:00:00,,
power,87302.0,22.198298473498124,0.0,3.1166666666666667,11.216666666666667,31.09166666666667,188.82500000000002,27.786556190064687,1.987
site_id,87302.0,9.336681862958466,0.0,2.0,4.0,16.0,19.0,7.241292494800016,0.105
cap_mw,87302.0,48.73398374798592,4.3025,12.441666666666668,28.108333333333334,50.19166666666666,188.82500000000002,46.96147564019071,1.567
ts,87302,2006-06-30 17:47:38.243797376,2006-01-01 07:00:00,2006-04-10 16:15:00,2006-06-29 12:00:00,2006-09-19 09:00:00,2006-12-31 17:00:00,,
GHI,87302.0,465.047158140707,2.0,190.0,455.0,714.0,1078.0,305.55804946635084,0.168
DNI,87302.0,587.094316281414,0.0,265.0,719.0,893.0,1032.0,347.23061580634743,-0.581
cloud,87302.0,1.74243430849236,0.0,0.0,0.0,3.0,10.0,2.771291000999645,1.322
temp,87302.0,22.699939291196078,-2.8000000000000003,14.8,22.1,30.1,49.7,9.877807724203976,0.192
cf,87302.0,0.44102744292108936,0.0,0.1789473684210526,0.48468137254901955,0.6898774983881367,1.0,0.27971896023158244,-0.202
