plant,hr,mon,cf
Actual_37.95_-121.75_2006_DPV_,15,4,0.3453443078277952
Actual_37.95_-121.75_2006_DPV_,7,5,0.29707182918074815
Actual_37.95_-121.75_2006_DPV_,8,5,0.4925181351226434
Actual_33.65_-117.25_2006_DPV_,10,2,0.6269460415745245
Actual_33.65_-117.25_2006_DPV_,16,2,0.11533613445378152
Actual_33.65_-117.25_2006_DPV_,15,4,0.38385964912280707
Actual_33.65_-117.25_2006_DPV_,11,5,0.7291121541995406
Actual_33.65_-117.25_2006_DPV_,11,9,0.7976780185758515
Actual_33.65_-117.25_2006_DPV_,9,10,0.6085988215320085
Actual_33.65_-117.25_2006_DPV_,13,11,0.570815273477812
Actual_34.55_-118.55_2006_UPV_,16,1,0.0685507004978439
Actual_34.55_-118.55_2006_UPV_,13,3,0.5361794572832271
Actual_34.55_-118.55_2006_UPV_,5,4,0.0003282360210071054
Actual_34.55_-118.55_2006_UPV_,7,5,0.26357112249067166
Actual_34.55_-118.55_2006_UPV_,8,5,0.4339983115731269
Actual_34.55_-118.55_2006_UPV_,13,6,0.6436118098768701
Actual_34.55_-118.55_2006_UPV_,7,9,0.264944025184989
Actual_34.55_-118.55_2006_UPV_,8,9,0.43955161304558893
Actual_34.55_-118.55_2006_UPV_,12,12,0.5897834514235603
Actual_38.65_-121.05_2006_DPV_,13,1,0.37173476222371055
Actual_38.65_-121.05_2006_DPV_,10,2,0.5423882882020858
Actual_38.65_-121.05_2006_DPV_,17,2,0.0027163801443774644
Actual_38.65_-121.05_2006_DPV_,16,4,0.22580933244027684
Actual_38.65_-121.05_2006_DPV_,11,5,0.8098005747250612
Actual_38.65_-121.05_2006_DPV_,12,7,0.7818421450640622
Actual_38.65_-121.05_2006_DPV_,11,9,0.7651038178164768
Actual_38.65_-121.05_2006_DPV_,14,10,0.46509517533435596
Actual_38.65_-121.05_2006_DPV_,7,11,0.04532261665550346
Actual_33.05_-116.85_2006_DPV_,11,1,0.746433993739574
Actual_33.05_-116.85_2006_DPV_,15,1,0.33400186188325126
Actual_33.05_-116.85_2006_DPV_,9,2,0.566662516255776
Actual_33.05_-116.85_2006_DPV_,14,2,0.5739188179629783
Actual_33.05_-116.85_2006_DPV_,12,3,0.6717899695725789
Actual_33.05_-116.85_2006_DPV_,13,3,0.6087983355513487
Actual_33.05_-116.85_2006_DPV_,16,3,0.16930016931891315
Actual_33.05_-116.85_2006_DPV_,8,5,0.4417161815148732
Actual_33.05_-116.85_2006_DPV_,12,6,0.7727096649234941
Actual_33.05_-116.85_2006_DPV_,13,6,0.7255277939182645
Actual_33.05_-116.85_2006_DPV_,16,6,0.3004971269933501
Actual_33.05_-116.85_2006_DPV_,7,8,0.2522351970909636
Actual_33.05_-116.85_2006_DPV_,8,9,0.5201497837174769
Actual_33.25_-114.85_2006_UPV_,11,1,0.7907906703043921
Actual_33.25_-114.85_2006_UPV_,17,2,2.467819631998736e-05
Actual_33.25_-114.85_2006_UPV_,7,2,0.18404011687593774
Actual_33.25_-114.85_2006_UPV_,18,7,8.915993509156726e-06
Actual_33.25_-114.85_2006_UPV_,12,11,0.7173438363736871
Actual_33.25_-114.85_2006_UPV_,15,12,0.23644323186932717
Actual_33.75_-116.15_2006_UPV_,15,2,0.5907439220730162
Actual_33.75_-116.15_2006_UPV_,5,6,0.24550777560914183
Actual_33.75_-116.15_2006_UPV_,11,7,0.7148381410028578
Actual_33.75_-116.15_2006_UPV_,12,7,0.6896783536059046
Actual_33.75_-116.15_2006_UPV_,17,7,0.30681211195577346
Actual_33.75_-116.15_2006_UPV_,7,8,0.6050859815627583
Actual_33.75_-116.15_2006_UPV_,10,8,0.7104065413822449
Actual_33.75_-116.15_2006_UPV_,18,8,0.008701126991122583
Actual_33.75_-116.15_2006_UPV_,8,10,0.6452059718952907
Actual_33.75_-116.15_2006_UPV_,16,11,0.044781165979931946
Actual_33.75_-116.15_2006_UPV_,14,12,0.6051103533296911
Actual_34.05_-117.15_2006_DPV_,16,1,0.05208333333333333
Actual_34.05_-117.15_2006_DPV_,7,3,0.18422873181530683
Actual_34.05_-117.15_2006_DPV_,9,3,0.5044769924098671
Actual_34.05_-117.15_2006_DPV_,17,3,0.006058270082226439
Actual_34.05_-117.15_2006_DPV_,8,5,0.45982566413662246
Actual_34.05_-117.15_2006_DPV_,10,5,0.6520694971537001
Actual_34.05_-117.15_2006_DPV_,7,6,0.31601307189542477
Actual_34.05_-117.15_2006_DPV_,9,6,0.6252348856209149
Actual_34.05_-117.15_2006_DPV_,17,6,0.09006331699346407
Actual_34.05_-117.15_2006_DPV_,6,7,0.11384210942441493
Actual_34.05_-117.15_2006_DPV_,13,8,0.7165757432005058
Actual_34.05_-117.15_2006_DPV_,8,9,0.4972528594771242
Actual_34.05_-117.15_2006_DPV_,10,9,0.7358558006535948
Actual_37.45_-121.95_2006_DPV_,16,1,0.0539451124660785
Actual_37.45_-121.95_2006_DPV_,8,2,0.2328656911550259
Actual_37.45_-121.95_2006_DPV_,15,3,0.33584267238932225
Actual_37.45_-121.95_2006_DPV_,14,4,0.49218585005279825
Actual_37.45_-121.95_2006_DPV_,15,6,0.5533614924322421
Actual_37.45_-121.95_2006_DPV_,9,7,0.6343404752983387
Actual_37.45_-121.95_2006_DPV_,6,10,0.0010100546347734263
Actual_37.95_-121.65_2006_DPV_,13,1,0.3713994753285788
Actual_37.95_-121.65_2006_DPV_,8,4,0.28830200245198195
Actual_37.95_-121.65_2006_DPV_,11,4,0.5672013349679882
Actual_37.95_-121.65_2006_DPV_,6,5,0.10613720553146053
Actual_37.95_-121.65_2006_DPV_,10,8,0.7001430322844301
Actual_37.95_-121.65_2006_DPV_,6,9,0.02504427189756165
Actual_37.95_-121.65_2006_DPV_,16,11,0.010311946601280476
Actual_35.05_-118.15_2006_UPV_,12,1,0.627433547744399
Actual_35.05_-118.15_2006_UPV_,14,1,0.6190463438539363
Actual_35.05_-118.15_2006_UPV_,7,2,0.2946799174592633
Actual_35.05_-118.15_2006_UPV_,10,4,0.7043167856549893
Actual_35.05_-118.15_2006_UPV_,5,6,0.22956444739609283
Actual_35.05_-118.15_2006_UPV_,9,7,0.6665631209396238
Actual_37.95_-121.75_2006_DPV_,14,8,0.6529004723490597
Actual_37.95_-121.75_2006_DPV_,7,9,0.22460454560850865
Actual_37.95_-121.75_2006_DPV_,8,9,0.4169427226230396
Actual_37.95_-121.75_2006_DPV_,13,11,0.3543881041899536
Actual_33.75_-116.25_2006_DPV_,11,1,0.7313936327219064
Actual_33.75_-116.25_2006_DPV_,16,1,0.05150447275684469
Actual_33.75_-116.25_2006_DPV_,9,2,0.5799986661331198
Actual_33.75_-116.25_2006_DPV_,12,2,0.7446645324796588
Actual_33.75_-116.25_2006_DPV_,6,3,0.01924640824071564
Actual_33.75_-116.25_2006_DPV_,7,4,0.3558045440398383
Actual_33.75_-116.25_2006_DPV_,17,4,0.0265172735760971
Actual_33.75_-116.25_2006_DPV_,6,6,0.17248677248677255
Actual_33.75_-116.25_2006_DPV_,10,7,0.7247070871359299
Actual_33.75_-116.25_2006_DPV_,14,12,0.44823951085810676
Actual_35.35_-117.85_2006_UPV_,15,1,0.29444763752185266
Actual_35.35_-117.85_2006_UPV_,8,3,0.4129307660990971
Actual_35.35_-117.85_2006_UPV_,13,3,0.6733781162439831
Actual_35.35_-117.85_2006_UPV_,5,6,0.0025365008661222474
Actual_35.35_-117.85_2006_UPV_,8,6,0.49040460282108383
Actual_35.35_-117.85_2006_UPV_,13,6,0.6807720861172977
Actual_35.35_-117.85_2006_UPV_,18,7,0.00026941590631510885
Actual_35.35_-117.85_2006_UPV_,14,8,0.5960258160308451
Actual_35.35_-117.85_2006_UPV_,11,10,0.7110244988864142
Actual_35.35_-117.85_2006_UPV_,12,11,0.6531799059638703
Actual_35.35_-117.85_2006_UPV_,7,12,0.07640036401082453
Actual_38.65_-121.25_2006_DPV_,13,4,0.5349881796690308
Actual_38.65_-121.25_2006_DPV_,15,4,0.35063399957016983
Actual_38.65_-121.25_2006_DPV_,8,5,0.496308313055053
Actual_38.65_-121.25_2006_DPV_,12,5,0.7645847632120797
Actual_38.65_-121.25_2006_DPV_,18,5,0.002558183066075997
Actual_38.65_-121.25_2006_DPV_,8,9,0.4415860735009672
Actual_38.65_-121.25_2006_DPV_,12,9,0.7391790242854073
Actual_38.65_-121.25_2006_DPV_,18,9,0.0
Actual_38.65_-121.25_2006_DPV_,14,10,0.4533807533121192
Actual_38.65_-121.25_2006_DPV_,7,11,0.034622823984526124
Actual_38.65_-121.25_2006_DPV_,9,12,0.2914872818784967
Actual_38.65_-121.25_2006_DPV_,11,12,0.36850315093280095
Actual_34.15_-117.25_2006_DPV_,13,2,0.6054804963788066
Actual_34.15_-117.25_2006_DPV_,12,3,0.5844419154002849
Actual_34.15_-117.25_2006_DPV_,16,4,0.18176697302104952
Actual_34.15_-117.25_2006_DPV_,12,6,0.7205257436505585
