plant,mean,median,p05,p95,n
Actual_33.75_-116.15_2006_UPV_,0.568,0.662,0.044,0.841,4363.0
Actual_32.75_-115.45_2006_UPV_,0.549,0.651,0.0,0.834,4329.0
Actual_34.95_-118.25_2006_UPV_,0.544,0.632,0.044,0.834,4377.0
Actual_35.05_-118.15_2006_UPV_,0.538,0.627,0.041,0.822,4377.0
Actual_37.75_-122.05_2006_UPV_,0.471,0.506,0.01,0.861,4376.0
Actual_33.25_-114.85_2006_UPV_,0.466,0.523,0.0,0.856,4329.0
Actual_33.75_-116.25_2006_DPV_,0.455,0.502,0.001,0.839,4363.0
Actual_33.05_-116.85_2006_DPV_,0.439,0.451,0.001,0.863,4375.0
Actual_34.45_-114.65_2006_UPV_,0.43,0.472,0.0,0.797,4329.0
Actual_35.35_-117.85_2006_UPV_,0.424,0.473,0.001,0.79,4377.0
Actual_33.65_-117.25_2006_DPV_,0.421,0.438,0.001,0.824,4375.0
Actual_34.05_-117.15_2006_DPV_,0.415,0.437,0.001,0.822,4375.0
Actual_34.25_-117.65_2006_UPV_,0.415,0.439,0.001,0.815,4375.0
Actual_34.15_-117.25_2006_DPV_,0.403,0.417,0.001,0.798,4375.0
Actual_37.45_-121.95_2006_DPV_,0.398,0.382,0.001,0.863,4376.0
Actual_34.55_-118.55_2006_UPV_,0.39,0.416,0.001,0.763,4377.0
Actual_38.65_-121.05_2006_DPV_,0.384,0.364,0.001,0.815,4351.0
Actual_37.95_-121.65_2006_DPV_,0.371,0.357,0.001,0.791,4376.0
Actual_38.65_-121.25_2006_DPV_,0.37,0.353,0.001,0.784,4351.0
Actual_37.95_-121.75_2006_DPV_,0.369,0.356,0.001,0.78,4376.0
